Don't see your tags in the report? New tags are excluded by default - go to https://portal.aws.amazon.com/gp/aws/developer/account?action=cost-allocation-report to update your cost allocation keys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,AvailabilityZone,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,user:project
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-25,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.11782919,,USD,0.014139,0,0,None,0.014139,
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-26,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.75312126,,USD,0.090374,0,0,None,0.090374,hospital
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-27,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.18285538,,USD,0.021942,0,0,None,0.021942,ad-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-28,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,351.03214931,,USD,42.123487,0,0,None,42.123487,
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-29,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.0756356,,USD,0.009076,0,0,None,0.009076,internal
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671882-0,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913845,$0.000 per GB - first 1 GB of data transferred out per month,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00000241,,USD,0,0,0,None,0,government
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671882-1,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913845,$0.000 per GB - first 1 GB of data transferred out per month,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00035459,,USD,0,0,0,None,0,cable-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671882-2,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913845,$0.000 per GB - first 1 GB of data transferred out per month,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00001918,,USD,0,0,0,None,0,ad-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671882-3,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913845,$0.000 per GB - first 1 GB of data transferred out per month,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00061742,,USD,0,0,0,None,0,machine-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671882-4,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913845,$0.000 per GB - first 1 GB of data transferred out per month,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00001441,,USD,0,0,0,None,0,government
